<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20150202;0;69.9388000;70.4760000;67.3750000;68.1241000;356601
USDRUB;D;20150203;0;68.3762000;68.4876000;63.5843000;64.4940000;336083
USDRUB;D;20150204;0;65.6933000;68.5577000;63.9104000;67.6082000;374233
USDRUB;D;20150205;0;67.8413000;68.9520000;65.0699000;66.1781000;356492
USDRUB;D;20150206;0;66.5423000;67.5646000;64.9151000;66.0246000;301390
USDRUB;D;20150209;0;66.9778000;67.4850000;64.3168000;65.7500000;237196
USDRUB;D;20150210;0;65.7700000;67.3244000;63.9589000;64.9630000;285488
USDRUB;D;20150211;0;65.8675000;66.8840000;64.5987000;65.0945000;268108
USDRUB;D;20150212;0;65.4300000;67.4300000;63.6962000;64.9622000;275767
USDRUB;D;20150213;0;65.3850000;65.9550000;61.4184000;63.1669000;280423
USDRUB;D;20150216;0;63.3696000;64.1240000;60.9893000;61.8734000;256466
USDRUB;D;20150217;0;63.0750000;63.9200000;61.2025000;62.1241000;255165
USDRUB;D;20150218;0;62.7860000;64.1137000;60.3167000;61.2346000;368731
USDRUB;D;20150219;0;61.4608000;62.5825000;60.0773000;61.8488000;360273
USDRUB;D;20150220;0;61.9333000;63.5755000;60.8714000;61.6592000;368548
USDRUB;D;20150223;0;61.9815000;64.6850000;59.9374000;63.5841000;34956
USDRUB;D;20150224;0;63.7698000;64.0598000;62.4300000;62.7171000;389679
USDRUB;D;20150225;0;62.8758000;63.6205000;61.0658000;61.2391000;390394
USDRUB;D;20150226;0;61.4850000;61.9750000;59.6730000;60.9701000;392813
USDRUB;D;20150227;0;61.1750000;62.1066000;60.1048000;61.6407000;369486
USDRUB;D;20150302;0;61.4175000;63.8614000;60.7995000;62.5451000;336180
USDRUB;D;20150303;0;62.7200000;62.7860000;60.6963000;61.8446000;311903
USDRUB;D;20150304;0;61.9701000;63.0430000;60.4850000;61.8330000;286576
USDRUB;D;20150305;0;61.8309000;62.2371000;60.3540000;60.8299000;289292
